Canonical_SMILES	Source
o1c2=C3C(=C([C]=c2c(=O)c2c1c(c1OC([C]=[C]c1c2O)([C])[C])[C][C]=C([C])[C])C(=[C])[C])[C@]([C]C3=O)(O)C(=O)O[C]	PDBQT/dock_0106.pdbqt
o1c2=C([C]=C(C3=C(C(=C([C]=C3O[C])O)C(=O)C3=[C][C]=[C]C(=[C]3)O)O)C(=c2c(=O)c2c1C(=[C][C]=[C]2)O)O)O	PDBQT/dock_0107.pdbqt
o1c2C(=[C]C(=C(c2c(=O)c2c1C(=C(C(=[C]2)[C][C]=C([C])[C])O)O)O)O)C([C])([C])[C]=[C]	PDBQT/dock_0108.pdbqt
o1c2=C(C(=[C]C(=c2c(=O)c2C3=C(OC([C]=[C]3)([C])[C])C(=[C]c12)O)O)O)C([C])([C])[C]=[C]	PDBQT/dock_0109.pdbqt
o1c2=C(C(=[C]C(=c2c(=O)c2=C(C(=[C][C]=c12)O)O[C])O)O[C])O[C]	PDBQT/dock_0110.pdbqt
o1c2c(c(=O)c3c1[C]=[C][C]=C3O)[C]=C(C(=[C]2)O)O	PDBQT/dock_0111.pdbqt
o1c2=[C]C(=C([C]=c2c(=O)c2=C([C]=C([C]=c12)O)O)O[C])O[C]	PDBQT/dock_0112.pdbqt
o1c2c(c3[C]4[C](C([C]C(=[C]4)[C])([C])[C])[C](c3c(c2O)O)C2=[C]C(=C(c3c2c(=O)c2=C([C]=C([C]=c2o3)O)O)O)O)c(=O)c2=C([C]=C([C]=c12)O)O	PDBQT/dock_0113.pdbqt
o1c2C(=[C]C(=C(c2c(=O)c2c1C(=[C][C]=[C]2)O)O)O)C([C])([C])[C]=[C]	PDBQT/dock_0114.pdbqt
o1c2=[C][C]=C(C(=c2c(=O)c2c1[C]=[C][C]=[C]2)[C][C]=[C])O[C][C][C]N[C]([C])[C]	PDBQT/dock_0115.pdbqt
o1c2=C(C(=[C][C]=c2c(=O)c2=[C][C]=[C]C(=c12)[C]C(=O)O)[C]O)[C]	PDBQT/dock_0116.pdbqt
o1c2c(c(c(c(c2c(=O)c2=[C]C(=C([C]=c12)O)O)O)[C][C]=C([C])[C])O)[C][C]=C([C])[C]	PDBQT/dock_0117.pdbqt
O1[C]([C]C2=C1[C]=c1oc3c(c(=O)c1=C2O)C(=C(C(=[C]3)O)O[C])[C][C]=C([C])[C])C([C])([C])O	PDBQT/dock_0118.pdbqt
o1c2=[C]C(=[C][C]=c2c(=O)c2=C([C]=C([C]=c12)O)O)O[C]	PDBQT/dock_0119.pdbqt
O1C([C][C]C2=C1C(=c1oc3c(c(=O)c1=[C]2)[C]=[C][C]=[C]3)O)([C])[C]	PDBQT/dock_0120.pdbqt
O1[C]([C]([C]([C]([C]1OC1=[C]C(=[C]c2c1c(=O)c1=C(C(=[C][C]=c1o2)O)O[C])O[C])O)O)O)[C]O[C]1O[C][C]([C]([C]1O)O)O	PDBQT/dock_0121.pdbqt
O1[C]([C]([C]([C]([C]1[C]O)O)O)OC(=O)C1=[C][C]=C([C]=[C]1)O)C1=C([C]=c2c(=C1O)c(=O)c1=[C]C(=C([C]=c1o2)O)O)O	PDBQT/dock_0122.pdbqt
O1C([C]=[C]C2=C1C(=[C]c1c2oc2=[C]C(=C(C(=c2c1=O)O)C([C])([C])[C]=[C])O)O)([C])[C]	PDBQT/dock_0123.pdbqt
o1c2=C(C(=[C]C(=c2c(=O)c2=C(C(=C([C]=c12)O)O[C])[C][C]=C([C])[C])O)O)C([C])([C])[C]=[C]	PDBQT/dock_0124.pdbqt
O1C([C]=[C]c2c3c(oc4c(c3=O)C(=C(C(=[C]4)O)[C][C]=C([C])[C])O)c(c(c12)O)[C][C]=C([C])[C])([C])[C]	PDBQT/dock_0125.pdbqt
o1c2c(c(c(c(c2c(=O)c2=[C][C]=[C]C(=c12)O)O)[C][C]=C([C])[C])O[C])[C][C]=C([C])[C]	PDBQT/dock_0126.pdbqt
o1c2c(c(c(c(c2c(=O)c2c1[C]=C([C]=C2C(=O)O[C])O[C])O)[C]C(=O)[C])[C])[C]C(=O)[C@@]1([C]([C@]2(O[C]2[C]([C]1)O)[C][C]=C([C])[C])O)O	PDBQT/dock_0127.pdbqt
O1[C@]2(N([C@](C1=O)([C])[C]O)C(=O)C1=C(C3=C([C]=C1[C]2)[C][C]c1c3c(c2c(oc3=[C][C]=C(C(=c3c2=O)O)O[C])c1O)O)O)[C]	PDBQT/dock_0128.pdbqt
